일자,경기 정보,소환사명,챔피언,승패,K,D,A,KDA
19.07.20,2019 LCK 섬머,Gen G CuVee,나르,승,3,3,3,2
19.07.20,2019 LCK 섬머,Gen G Peanut,세주아니,승,0,2,8,4
19.07.20,2019 LCK 섬머,Gen G Fly,탈리야,승,2,2,3,2.5
19.07.20,2019 LCK 섬머,Gen G Ruler,루시안,승,6,2,5,5.5
19.07.20,2019 LCK 섬머,Gen G Life,유미,승,4,0,8,14.4
19.07.20,2019 LCK 섬머,KZ Rascal,카밀,패,1,4,6,1.8
19.07.20,2019 LCK 섬머,KZ Cuzz,트런들,패,1,4,5,1.5
19.07.20,2019 LCK 섬머,KZ Naehyun,아지르,패,5,2,3,4
19.07.20,2019 LCK 섬머,KZ Deft,바루스,패,2,2,3,2.5
19.07.20,2019 LCK 섬머,KZ TusiN,럭스,패,0,4,7,1.8
19.07.20,2019 LCK 섬머,KZ Rascal,니코,패,2,1,1,3
19.07.20,2019 LCK 섬머,KZ Cuzz,자크,패,1,4,1,0.5
19.07.20,2019 LCK 섬머,KZ Naehyun,아지르,패,0,1,2,2
19.07.20,2019 LCK 섬머,KZ Deft,바루스,패,0,2,1,0.5
19.07.20,2019 LCK 섬머,KZ TusiN,탐 켄치,패,0,2,1,0.5
19.07.20,2019 LCK 섬머,Gen G CuVee,카르마,승,0,2,5,2.5
19.07.20,2019 LCK 섬머,Gen G Peanut,스카너,승,1,1,4,5
19.07.20,2019 LCK 섬머,Gen G Fly,베이가,승,4,0,5,10.8
19.07.20,2019 LCK 섬머,Gen G Ruler,이즈리얼,승,5,0,3,9.6
19.07.20,2019 LCK 섬머,Gen G Life,럭스,승,0,0,9,10.8
19.07.20,2019 LCK 섬머,Gen G CuVee,나르,패,1,4,0,0.3
19.07.20,2019 LCK 섬머,Gen G Peanut,스카너,패,0,4,2,0.5
19.07.20,2019 LCK 섬머,Gen G Fly,탈리야,패,1,3,0,0.3
19.07.20,2019 LCK 섬머,Gen G Ruler,이즈리얼,패,0,5,2,0.4
19.07.20,2019 LCK 섬머,Gen G Life,유미,패,1,0,1,2.4
19.07.20,2019 LCK 섬머,KZ Rascal,제이스,승,3,1,8,11
19.07.20,2019 LCK 섬머,KZ Cuzz,그라가스,승,2,0,8,12
19.07.20,2019 LCK 섬머,KZ Naehyun,야스오,승,4,0,5,10.8
19.07.20,2019 LCK 섬머,KZ Deft,바루스,승,4,0,8,14.4
19.07.20,2019 LCK 섬머,KZ TusiN,럭스,승,3,2,9,6
19.07.20,2019 LCK 섬머,DWG Nuguri,제이스,승,6,3,4,3.3
19.07.20,2019 LCK 섬머,DWG Canyon,리 신,승,0,4,6,1.5
19.07.20,2019 LCK 섬머,DWG ShowMaker,코르키,승,3,0,6,10.8
19.07.20,2019 LCK 섬머,DWG Nuclear,카이사,승,2,0,5,8.4
19.07.20,2019 LCK 섬머,DWG BeryL,라칸,승,0,3,7,2.3
19.07.20,2019 LCK 섬머,FIN Doran,이렐리아,패,5,5,1,1.2
19.07.20,2019 LCK 섬머,FIN Tarzan,자크,패,1,1,7,8
19.07.20,2019 LCK 섬머,FIN Chovy,아트록스,패,2,2,2,2
19.07.20,2019 LCK 섬머,FIN Viper,이즈리얼,패,1,1,3,4
19.07.20,2019 LCK 섬머,FIN Lehends,브라움,패,0,2,6,3
19.07.20,2019 LCK 섬머,FIN Doran,블라디미르,패,2,3,1,1
19.07.20,2019 LCK 섬머,FIN Tarzan,세주아니,패,1,3,6,2.3
19.07.20,2019 LCK 섬머,FIN Chovy,아트록스,패,3,3,3,2
19.07.20,2019 LCK 섬머,FIN Viper,카이사,패,2,2,5,3.5
19.07.20,2019 LCK 섬머,FIN Lehends,노틸러스,패,0,1,6,6
19.07.20,2019 LCK 섬머,DWG Nuguri,제이스,승,3,1,5,8
19.07.20,2019 LCK 섬머,DWG Canyon,사일러스,승,1,2,10,5.5
19.07.20,2019 LCK 섬머,DWG ShowMaker,코르키,승,7,0,5,14.4
19.07.20,2019 LCK 섬머,DWG Nuclear,이즈리얼,승,1,2,6,3.5
19.07.20,2019 LCK 섬머,DWG BeryL,알리스타,승,0,3,11,3.7
19.07.19,2019 LCK 섬머,Afreeca Kiin,아트록스,패,2,0,2,4.8
19.07.19,2019 LCK 섬머,Afreeca Dread,세주아니,패,1,3,4,1.7
19.07.19,2019 LCK 섬머,Afreeca Ucal,카르마,패,0,1,6,6
19.07.19,2019 LCK 섬머,Afreeca Aiming,자야,패,2,1,3,5
19.07.19,2019 LCK 섬머,Afreeca Senan,라칸,패,1,2,4,2.5
19.07.19,2019 LCK 섬머,KT Kingen,니코,승,2,0,3,6
19.07.19,2019 LCK 섬머,KT Score,트런들,승,0,4,6,1.5
19.07.19,2019 LCK 섬머,KT BDD,코르키,승,3,0,4,8.4
19.07.19,2019 LCK 섬머,KT PraY,루시안,승,2,0,4,7.2
19.07.19,2019 LCK 섬머,KT SnowFlower,노틸러스,승,0,2,3,1.5
19.07.19,2019 LCK 섬머,KT Kingen,카르마,패,3,2,5,4
19.07.19,2019 LCK 섬머,KT Score,사일러스,패,1,5,4,1
19.07.19,2019 LCK 섬머,KT BDD,키아나,패,1,4,5,1.5
19.07.19,2019 LCK 섬머,KT PraY,카이사,패,4,3,5,3
19.07.19,2019 LCK 섬머,KT SnowFlower,갈리오,패,1,8,4,0.6
19.07.19,2019 LCK 섬머,Afreeca Kiin,클레드,승,4,2,13,8.5
19.07.19,2019 LCK 섬머,Afreeca Dread,세주아니,승,2,2,15,8.5
19.07.19,2019 LCK 섬머,Afreeca Ucal,니코,승,1,3,12,4.3
19.07.19,2019 LCK 섬머,Afreeca Aiming,자야,승,13,1,7,20
19.07.19,2019 LCK 섬머,Afreeca Senan,라칸,승,2,2,20,11
19.07.19,2019 LCK 섬머,Afreeca Kiin,나르,패,0,3,0,0
19.07.19,2019 LCK 섬머,Afreeca Dread,신 짜오,패,0,3,0,0
19.07.19,2019 LCK 섬머,Afreeca Ucal,니코,패,0,3,0,0
19.07.19,2019 LCK 섬머,Afreeca Aiming,시비르,패,0,3,0,0
19.07.19,2019 LCK 섬머,Afreeca Senan,유미,패,0,3,0,0
19.07.19,2019 LCK 섬머,KT Kingen,케넨,승,4,0,1,6
19.07.19,2019 LCK 섬머,KT Score,자르반 4세,승,4,0,9,15.6
19.07.19,2019 LCK 섬머,KT BDD,아지르,승,6,0,5,13.2
19.07.19,2019 LCK 섬머,KT PraY,칼리스타,승,1,0,4,6
19.07.19,2019 LCK 섬머,KT SnowFlower,노틸러스,승,0,0,8,9.6
19.07.19,2019 LCK 섬머,SKT T1 Khan,아트록스,승,2,1,6,8
19.07.19,2019 LCK 섬머,SKT T1 Clid,세주아니,승,1,1,6,7
19.07.19,2019 LCK 섬머,SKT T1 Faker,아지르,승,2,1,6,8
19.07.19,2019 LCK 섬머,SKT T1 Teddy,카이사,승,6,0,3,10.8
19.07.19,2019 LCK 섬머,SKT T1 Effort,럭스,승,0,1,8,8
19.07.19,2019 LCK 섬머,Jin Air TaNa,모데카이저,패,0,3,1,0.3
19.07.19,2019 LCK 섬머,Jin Air Malrang,신 짜오,패,0,2,4,2
19.07.19,2019 LCK 섬머,Jin Air Grace,조이,패,2,2,1,1.5
19.07.19,2019 LCK 섬머,Jin Air Route,이즈리얼,패,1,2,2,1.5
19.07.19,2019 LCK 섬머,Jin Air Kellin,탐 켄치,패,1,2,1,1
19.07.19,2019 LCK 섬머,Jin Air Lindarang,아트록스,패,2,1,2,4
19.07.19,2019 LCK 섬머,Jin Air Seize,사일러스,패,3,1,3,6
19.07.19,2019 LCK 섬머,Jin Air Grace,아지르,패,1,4,5,1.5
19.07.19,2019 LCK 섬머,Jin Air Route,이즈리얼,패,1,2,1,1
19.07.19,2019 LCK 섬머,Jin Air Kellin,탐 켄치,패,0,1,1,1
19.07.19,2019 LCK 섬머,SKT T1 Khan,피오라,승,1,2,1,1
19.07.19,2019 LCK 섬머,SKT T1 Clid,세주아니,승,4,1,3,7
19.07.19,2019 LCK 섬머,SKT T1 Faker,코르키,승,0,2,4,2
19.07.19,2019 LCK 섬머,SKT T1 Teddy,바루스,승,4,1,1,5
19.07.19,2019 LCK 섬머,SKT T1 Effort,브라움,승,0,1,5,5

